,STATION_NAME,coords_x,coords_y
1,18th,-9759284.802320646,5139718.458609748
3,35th/Archer,-9760562.1934775,5135451.527414589
5,35th-Bronzeville-IIT,-9754462.330659993,5135798.728109292
7,43rd,-9753704.801525144,5133525.868047127
10,47th,-9753683.094224438,5132442.584289853
11,47th,-9755031.618535908,5132608.212867213
13,51st,-9753645.35691706,5131379.433588119
15,54th/Cermak,-9769030.268255338,5138801.600373419
17,63rd,-9755032.954369796,5128161.281492622
19,69th,-9754450.976071931,5126344.848552564
21,79th,-9754382.848543566,5123666.429007203
23,87th,-9754338.877344703,5121421.509109096
25,95th/Ran Ryan,-9754297.132535655,5119483.158199904
27,Adams/Wabash,-9754485.819072548,5142947.230784657
31,Addison,-9759896.502922557,5153047.795136435
32,Addison,-9757557.012504045,5153107.66357228
33,Addison,-9764841.092064612,5153100.479340146
35,Argyle,-9758102.923286894,5157003.661317541
37,Armitage,-9757447.696764085,5148736.608811405
39,Ashland,-9758858.448670909,5136927.815107006
41,Ashland/63rd,-9758685.792140689,5127911.089147449
43,Austin,-9771270.015296906,5141653.139331026
45,Austin,-9770972.013020052,5144111.405040158
48,Belmont,-9764095.140156807,5151716.418183703
51,Belmont,-9757529.62790931,5151958.704187643
53,Berwyn,-9758118.285376625,5157682.124314023
55,Bryn Mawr,-9758137.43232904,5158508.743449116
57,California,-9762137.586911207,5139150.66984794
59,California,-9762373.138953725,5149293.44752712
61,California,-9762300.113367766,5143651.9085809225
63,Central,-9761118.234334012,5170569.2106583975
65,Central,-9770027.46714067,5144125.759987804
67,Central Park,-9764371.546452446,5139110.317626527
69,Cermak-Chinatown,-9755034.73548165,5139015.714753013
72,Cermak-McCormick Place,-9754526.45068669,5139002.114732846
75,Chicago,-9757733.787855424,5145424.672972749
77,Chicago,-9754723.931463355,5145513.80587524
78,Chicago,-9755586.434878023,5145534.593701985
81,Cicero,-9767766.123004695,5138808.578081139
82,Cicero,-9767745.862857372,5141761.222748131
84,Cicero,-9767695.10116957,5143995.669062796
86,Clark/Division,-9755084.161335563,5146597.973826784
90,Clark/Lake,-9755025.607283408,5143878.7382719
92,Clinton,-9756238.54445509,5143869.916185894
94,Clinton,-9756149.711501436,5142353.984110297
96,Conservatory,-9764558.67451647,5143754.183134126
98,Cottage Grove,-9752239.39174834,5128127.394676389
100,Cumberland,-9778084.549245305,5158619.863296726
103,Damen,-9760044.891803782,5139211.646861265
105,Damen,-9760207.640899323,5147469.106477977
106,Damen,-9760341.446927257,5155930.587427279
108,Davis,-9760887.357710108,5168128.852011956
110,Dempster,-9760671.286578478,5167221.204762769
112,Dempster-Skokie,-9768498.939212589,5166815.901872583
114,Diversey,-9757501.909356102,5150908.343800912
116,Division,-9758989.694350554,5146513.46741859
118,Forest Park,-9775779.122590978,5142162.323072231
120,Foster,-9760889.25014145,5169095.8051065095
122,Francisco,-9762902.351812957,5155894.655689922
126,Fullerton,-9757472.409691041,5149759.050666043
129,Garfield,-9755055.774865411,5130383.443670353
130,Garfield,-9753627.545798533,5130346.413360281
133,Grand,-9754706.676942283,5144765.1751609165
134,Grand,-9756883.752223726,5144693.993992702
136,Granville,-9758177.729984706,5160030.389223906
139,Halsted,-9756512.613041423,5127923.479187259
140,Halsted,-9756940.525164032,5138055.391651757
143,Harlem,-9774842.035117479,5158323.945923244
144,Harlem,-9774626.186624832,5142047.65719091
146,Harlem/Lake,-9774204.842352178,5144044.864158324
148,Harold Washington Library-State/Van Buren,-9754726.157853171,5142551.778744471
150,Harrison,-9754646.341778273,5142129.732108107
154,Howard,-9759701.693813669,5163835.416862648
156,Illinois Medical District,-9759817.466084093,5142378.951158805
158,Indiana,-9753966.402328508,5134313.054529841
161,Irving Park,-9765973.099966489,5153930.443607329
162,Irving Park,-9759921.661127476,5154169.343007
165,Jackson,-9754659.366158696,5142744.793177557
166,Jackson,-9754848.609293044,5142749.278454739
168,Jarvis,-9759278.679748654,5163357.888598946
170,Jefferson Park,-9769497.809003476,5156581.574177033
173,Kedzie,-9763209.816246528,5131699.904561991
175,Kedzie,-9763321.358376304,5139128.999189338
176,Kedzie,-9763701.29179838,5155887.169928344
178,Kedzie,-9763404.514035925,5143667.010456283
180,Kedzie-Homan,-9763391.712294484,5142174.881088076
182,Kimball,-9764173.731717305,5156172.38159676
184,King Drive,-9753317.966294635,5128100.673438928
186,Kostner,-9766421.606194895,5139097.165828205
188,Lake,-9754683.5224882,5143739.978269596
190,Laramie,-9768840.356090851,5144091.966082933
192,LaSalle,-9755118.670377709,5142358.319700865
194,LaSalle/Van Buren,-9755120.562809052,5142542.5093655605
196,Lawrence,-9758098.804465737,5156357.7363241725
198,Linden,-9761687.410890438,5171943.715130045
200,Logan Square,-9763670.122340957,5150458.844628978
202,Loyola,-9758384.672918092,5161140.175601162
204,Main,-9760441.52314948,5165992.308782863
206,Merchandise Mart,-9755363.795896435,5144362.0216003
208,Midway,-9766935.568283888,5129068.059621186
211,Monroe,-9754670.498107776,5143132.32889421
212,Monroe,-9754857.73749129,5143126.049254987
214,Montrose,-9767569.978061918,5155219.912742204
216,Montrose,-9759941.587316329,5155252.398717465
218,Morgan,-9757397.491673738,5143856.159729055
220,Morse,-9758924.349809458,5162232.113408445
222,North/Clybourn,-9757061.752089504,5147605.377719131
224,Noyes,-9760864.425895004,5169713.80702691
227,Oak Park,-9772916.430565737,5141841.052778878
228,Oak Park,-9773159.218375158,5144065.798318367
230,Oakton-Skokie,-9767975.942433722,5164911.401075169
232,O'Hare,-9785453.35073073,5157634.395237184
234,Paulina,-9759480.724624444,5152538.180284015
236,Polk,-9759327.43768562,5141757.784390998
239,Pulaski,-9765445.890858091,5131030.89998803
240,Pulaski,-9765425.630710768,5139094.32623776
242,Pulaski,-9765576.13466232,5142093.553278123
244,Pulaski,-9765547.302914204,5143830.142136595
246,Quincy/Wells,-9755343.31311013,5142830.013804023
248,Racine,-9758206.227774352,5142410.944957043
250,Ridgeland,-9772032.442489348,5144091.367961801
252,Rockwell,-9762062.557574412,5155904.986050551
256,Roosevelt,-9754637.770177482,5141132.472446685
258,Rosemont,-9780462.333568651,5158509.192718131
260,Sedgwick,-9755962.472117923,5147568.579804819
264,Sheridan,-9757702.061800547,5154057.676252283
266,South Boulevard,-9760306.937885113,5165116.4855424175
268,Southport,-9758669.428175543,5152556.289479042
270,Sox-35th,-9754997.777410708,5135726.119692703
272,State/Lake,-9754685.971516997,5143879.18685276
274,Thorndale,-9758163.703728868,5159520.401156392
276,UIC-Halsted,-9757120.751419626,5142344.266414443
278,Washington,-9754864.639299719,5143494.013175108
280,Washington/Wabash,-9754502.739635149,5143502.3863508
282,Washington/Wells,-9755347.765889762,5143423.888116769
284,Wellington,-9757516.93748736,5151402.308549557
287,Western,-9761439.391064951,5155912.172394974
289,Western,-9761063.910422506,5139168.006410193
291,Western,-9760940.345787724,5131746.199019551
292,Western,-9761312.709484428,5148428.431544023
294,Western,-9761432.043978559,5142344.86442621
298,Wilson,-9757998.060326569,5155629.21417368
299,Ashland,-9759042.348469699,5143808.759915374
